net,length_um
delay_count_reg_2[13],9.86µm
_0519_,9.85µm
_0624_,9.84µm
_0627_,9.81µm
_0816_,9.785µm
_0915_,9.74µm
net38,9.67µm
net343,9.67µm
net387,9.67µm
net403,9.67µm
net404,9.67µm
net406,9.67µm
net408,9.67µm
net411,9.67µm
net413,9.67µm
net414,9.67µm
net415,9.67µm
net451,9.67µm
net459,9.67µm
net468,9.67µm
net475,9.67µm
net492,9.67µm
net495,9.67µm
net498,9.67µm
net506,9.67µm
net509,9.67µm
net519,9.67µm
net520,9.67µm
net526,9.67µm
net582,9.67µm
net465,9.635µm
net511,9.61µm
net552,9.61µm
net557,9.61µm
_0663_,9.6µm
net489,9.6µm
net508,9.6µm
_0701_,9.55µm
_0734_,9.55µm
ro_clk_2,9.54µm
delay_chain_inst.chain_1_done,9.5µm
_0474_,9.49µm
_0489_,9.49µm
_0622_,9.49µm
_0771_,9.49µm
_0438_,9.48µm
_0644_,9.48µm
net262,9.48µm
delay_count_reg_2[10],9.44µm
_0595_,9.425µm
_0894_,9.42µm
net278,9.42µm
_0399_,9.38µm
_0480_,9.38µm
net352,9.38µm
_0574_,9.37µm
_0626_,9.37µm
net393,9.37µm
net288,9.365µm
_0412_,9.36µm
_0496_,9.36µm
delay_chain_inst.chain_2\[20\],9.31µm
ro_clk_1,9.3µm
_0462_,9.24µm
_0741_,9.18µm
_0492_,9.13µm
_0885_,9.13µm
delay_chain_inst.delay_count_0\[8\],9.13µm
net607,9.13µm
_0360_,9.12µm
delay_chain_inst.start_prev,9.12µm
net71,9.12µm
net371,9.12µm
_0009_,9.07µm
_0212_,9.07µm
_0233_,9.07µm
_0715_,9.07µm
_0781_,9.07µm
net375,9.07µm
_0708_,9.06µm
delay_count_reg_0[10],9.02µm
_0596_,9.01µm
_0777_,9.01µm
delay_count_reg_0[12],8.97µm
delay_count_reg_0[5],8.97µm
_0358_,8.9µm
_0818_,8.895µm
_0008_,8.89µm
_0290_,8.89µm
_0293_,8.89µm
delay_count_reg_1[11],8.78µm
delay_count_reg_1[15],8.78µm
net402,8.76µm
_0003_,8.7µm
_0196_,8.7µm
_0443_,8.65µm
_0207_,8.64µm
_0517_,8.64µm
_0827_,8.64µm
_0000_,8.595µm
_0140_,8.59µm
_0731_,8.59µm
_0654_,8.58µm
delay_count_reg_0[0],8.55µm
_0566_,8.53µm
delay_chain_inst.cycle_count\[9\],8.53µm
_0295_,8.52µm
_0299_,8.52µm
_0355_,8.52µm
_0444_,8.52µm
delay_count_reg_0[11],8.49µm
delay_count_reg_2[3],8.49µm
net295,8.47µm
net477,8.46µm
ro_count_2\[0\],8.425µm
net433,8.42µm
_0428_,8.41µm
_0497_,8.41µm
_0549_,8.41µm
_0557_,8.41µm
_0603_,8.4µm
net490,8.4µm
delay_count_reg_2[5],8.36µm
_0326_,8.295µm
net610,8.25µm
net338,8.23µm
net329,8.22µm
net340,8.22µm
_0162_,8.17µm
_0167_,8.17µm
_0363_,8.17µm
_0526_,8.16µm
_0633_,8.16µm
_0671_,8.16µm
ro_count_1\[0\],8.16µm
net373,8.16µm
_0019_,8.11µm
_0470_,8.11µm
_0483_,8.11µm
_0719_,8.11µm
_0879_,8.11µm
_0638_,8.1µm
_0726_,8.1µm
_0929_,8.1µm
_0930_,8.1µm
_0376_,8.05µm
_0525_,8.04µm
_0571_,8.04µm
corner_class_reg[2],8.04µm
done,8.04µm
_0883_,8.035µm
net590,8.035µm
_0018_,7.98µm
_0493_,7.94µm
net354,7.94µm
net425,7.94µm
net428,7.94µm
net430,7.94µm
net457,7.94µm
net578,7.94µm
_0434_,7.93µm
_0601_,7.93µm
_0933_,7.93µm
_0278_,7.92µm
_0441_,7.92µm
_0455_,7.92µm
_0588_,7.92µm
_0758_,7.92µm
_0710_,7.86µm
net325,7.77µm
_0447_,7.75µm
net368,7.75µm
net460,7.75µm
_0126_,7.74µm
_0134_,7.74µm
_0285_,7.74µm
_0310_,7.74µm
_0721_,7.74µm
_0722_,7.74µm
_0925_,7.74µm
delay_chain_inst.chain_2\[25\],7.74µm
net353,7.74µm
net501,7.74µm
_0677_,7.7µm
_0458_,7.69µm
_0909_,7.69µm
_0420_,7.68µm
delay_chain_inst.chain_1\[11\],7.68µm
net471,7.68µm
_0282_,7.63µm
_0283_,7.63µm
_0291_,7.63µm
_0405_,7.63µm
_0442_,7.63µm
_0294_,7.62µm
busy,7.62µm
ro_count_reg_2[0],7.62µm
net611,7.62µm
_0587_,7.57µm
_0286_,7.56µm
_0461_,7.56µm
_0481_,7.56µm
_0716_,7.555µm
_0803_,7.555µm
net455,7.555µm
net558,7.555µm
net41,7.52µm
net52,7.52µm
delay_count_reg_0[7],7.52µm
_0079_,7.51µm
net308,7.51µm
_0460_,7.47µm
_0520_,7.46µm
_0528_,7.46µm
_0744_,7.46µm
net412,7.46µm
net416,7.46µm
net417,7.46µm
net424,7.46µm
net442,7.46µm
net444,7.46µm
net469,7.46µm
net568,7.46µm
_0005_,7.45µm
_0281_,7.45µm
_0468_,7.45µm
_0572_,7.45µm
_0604_,7.45µm
_0799_,7.45µm
_0903_,7.45µm
net355,7.405µm
net556,7.38µm
net588,7.365µm
net485,7.35µm
_0746_,7.31µm
net24,7.275µm
_0027_,7.26µm
_0193_,7.26µm
_0280_,7.26µm
_0690_,7.26µm
_0850_,7.26µm
_0855_,7.26µm
_0862_,7.26µm
_0370_,7.21µm
_0374_,7.21µm
_0380_,7.21µm
_0381_,7.21µm
_0384_,7.21µm
