2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m3m4 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m3m5 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m3tm1 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m3tm2 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m4m5 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m4tm1 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m4tm2 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m5tm1 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m5tm2 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_tm1tm2 has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m1sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m2sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m3sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m4sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_m5sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_tm1sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : norcx_tm2sub has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : snsbotvia_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : snstopvia_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : deepvia_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : fgetch_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : ctrgat_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : fgimp_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : emwihv_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : lbe_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : alcustop_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : nometfiller_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : prboundary_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : exchange0_drw has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : exchange0_pin has 0 polygons
2026-06-19 09:35:32 +0200: Memory Usage (454464K) : exchange0_text has 0 polygons
